partial_index,m,c,mech,rep,snp_num,N,q,sd,se,ci,index_nosnp,mean_q
0.01 0 dmi 1.14,0.01,0,dmi,6,1.14,150,0.553333333333333,0.343426607082069,0.0280406650482119,0.0554087236464352,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,2,1.14,150,0.45,0.351172532597592,0.0286731172181664,0.0566584574685235,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,17,1.14,150,0.573333333333333,0.339693242325236,0.0277358370922809,0.0548063795885876,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,3,1.14,150,0.51,0.349832174528831,0.0285636774401302,0.0564422030249606,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,15,1.14,150,0.606666666666667,0.350391280166905,0.0286093282243167,0.0565324095760849,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,16,1.14,150,0.56,0.322115490564712,0.0263006196709944,0.0519703710512764,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,14,1.14,150,0.573333333333333,0.358907115662783,0.0293046432809294,0.0579063612905974,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.15,0.01,0,dmi,20,1.15,150,0.493333333333333,0.34750629691879,0.0283737703285047,0.0560669440698518,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,8,1.15,150,0.49,0.335134952282824,0.0273636542688302,0.0540709414249395,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,7,1.15,150,0.556666666666667,0.373342721198681,0.0304833055372976,0.0602354134412258,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,10,1.15,150,0.5,0.366371652723656,0.0299141201797705,0.0591106956742046,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,12,1.15,150,0.416666666666667,0.359047335060877,0.0293160921468418,0.0579289844005098,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,5,1.15,150,0.53,0.358173966954645,0.0292447819395788,0.0577880744912544,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,11,1.15,150,0.483333333333333,0.363690381385464,0.0296951952917532,0.0586780972105582,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,9,1.15,150,0.303333333333333,0.311397944902476,0.0254255357320792,0.0502411936563958,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,16,1.15,150,0.556666666666667,0.320112536140313,0.0261370791270669,0.0516472127813892,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,18,1.15,150,0.453333333333333,0.339495612185949,0.0277197006589793,0.0547744937837426,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,19,1.15,150,0.433333333333333,0.345957802188149,0.0282473362631894,0.0558171086906799,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,6,1.15,150,0.56,0.342317408341573,0.0279500993502935,0.0552297646339018,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,14,1.15,150,0.543333333333333,0.361469162249383,0.0295138335087431,0.058319723937401,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,15,1.15,150,0.543333333333333,0.375136067782385,0.0306297316726989,0.0605247534143369,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,4,1.15,150,0.58,0.36673784137351,0.0299440193578286,0.0591697768440494,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,3,1.15,150,0.56,0.366005097701691,0.0298841910875549,0.0590515553935902,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,1,1.15,150,0.6,0.337777974017762,0.0275794560898197,0.0544973686669839,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,13,1.15,150,0.33,0.326821175166042,0.0266848372097855,0.0527295899710268,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,17,1.15,150,0.6,0.357094915286524,0.0291566777398123,0.0576139794315061,0.01 0 dmi,0.499
0.01 0 dmi 1.15,0.01,0,dmi,2,1.15,150,0.446666666666667,0.357783382154428,0.0292128908241848,0.0577250572269847,0.01 0 dmi,0.499
0.01 0 dmi 1.16,0.01,0,dmi,10,1.16,150,0.533333333333333,0.350774151831119,0.0286405895647932,0.0565941823968188,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,8,1.16,150,0.493333333333333,0.327624491768036,0.0267504277356785,0.0528591977145231,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,7,1.16,150,0.553333333333333,0.357783382154428,0.0292128908241848,0.0577250572269847,0.01 0 dmi,0.498
